pair,system,y,C_index,unc_n,spearman_rho,spearman_p
mStage vs ajcc8th,modified,PFS,0.696489889355208,58,-0.13822155701679614,0.3007970127158832
mStage vs ajcc8th,conventional,PFS,0.6339397182093811,61,-0.11304909911716116,0.38568944200589494
mTstage vs T stage,modified,PFS,0.6968075619761013,61,-0.3122021664620795,0.014305549672162382
mTstage vs T stage,conventional,PFS,0.6198501872659176,61,-0.09889336664834147,0.4482926421006066
mNstage vs N stage,modified,PFS,0.64536436474628,58,-0.06596139837224604,0.6227561687835844
mNstage vs N stage,conventional,PFS,0.6456505150705838,58,-0.08451024721593696,0.5282169827473678
mStage vs ajcc8th,modified,DSS,0.8083788706739526,27,-0.39933839609683836,0.039057163686659
mStage vs ajcc8th,conventional,DSS,0.7523989033584647,28,-0.4431297855853832,0.018191795081602524
mTstage vs T stage,modified,DSS,0.8293351610692254,28,-0.27781436588696645,0.15231898486987933
mTstage vs T stage,conventional,DSS,0.7241261137765593,28,-0.26139380242428,0.17907682803117425
mNstage vs N stage,modified,DSS,0.7329690346083789,27,-0.2690978038577168,0.1746853769886812
mNstage vs N stage,conventional,DSS,0.7455373406193079,27,-0.35782942553309094,0.06686623835891764
mStage vs ajcc8th,modified,LRRFS,0.6729723046488625,42,0.03939882950278685,0.8043478846642309
mStage vs ajcc8th,conventional,LRRFS,0.5995559710212667,44,-0.020272483078009506,0.8960802536911512
mTstage vs T stage,modified,LRRFS,0.6687310119186726,44,-0.2490515191974737,0.10304548080593522
mTstage vs T stage,conventional,LRRFS,0.5870530497779856,44,-0.11088733442348989,0.47363158537242234
mNstage vs N stage,modified,LRRFS,0.6212908011869436,42,0.07241158410545624,0.6485931132607363
mNstage vs N stage,conventional,LRRFS,0.6158506429277942,42,0.060830848574839606,0.7019522872472073
