label,pair,seed,n,C_new,C_new_lo,C_new_hi,C_old,C_old_lo,C_old_hi,dC,dC_lo,dC_hi,dC_excl_0,opt_C_new,opt_C_old,HR_new,HR_new_lo,HR_new_hi,p_new,HR_old,HR_old_lo,HR_old_hi,p_old,NRI,NRI_lo,NRI_hi,IDI,IDI_lo,IDI_hi,NRI_excl_0,chi2_new,p_lr_new,chi2_old,p_lr_old,AUC_new_12m,AUC_old_12m,AUC_new_24m,AUC_old_24m,AUC_new_36m,AUC_old_36m,AUC_new_60m,AUC_old_60m
PFS,mStage vs ajcc8th,42,133,0.6936864633493847,0.6293368989022036,0.7562862592922042,0.6339397182093811,0.5577721379884589,0.7081841576538163,0.059746745140003554,0.01176525779073811,0.1111035839120768,True,0.6921315411911176,0.6316336959876427,1.8291057433210924,1.3413663662450352,2.4941939088690703,0.0001356478249247489,0.9588227115461604,0.692985561384331,1.3266380187492297,0.7996343802582533,0.8478057889822594,0.047106913349917116,1.3146816404940067,0.13823998209374994,0.040271677374873596,0.24651590667187936,True,33.09505001352258,3.0753641468100996e-07,16.605758035193677,0.0023052754846439845,0.7549247586351706,0.6669542206867326,0.8153865958824801,0.69283621667629,0.7214499009315639,0.6775903591962831,0.7371194781013845,0.6681776086744412
PFS,mStage vs ajcc8th,123,133,0.6936864633493847,0.6293224246849344,0.7547134980814062,0.6339397182093811,0.5574008745186136,0.7097447338515941,0.059746745140003554,0.010850510951730407,0.11068578923949315,True,0.6952279331618282,0.6333419583416702,1.8291057433210924,1.3413663662450352,2.4941939088690703,0.0001356478249247489,0.9588227115461604,0.692985561384331,1.3266380187492297,0.7996343802582533,0.8478057889822594,0.06118198960347537,1.2967005494505492,0.13823998209374994,0.04460359256611653,0.2401493673296754,True,33.09505001352258,3.0753641468100996e-07,16.605758035193677,0.0023052754846439845,0.7549247586351706,0.6669542206867326,0.8153865958824801,0.69283621667629,0.7214499009315639,0.6775903591962831,0.7371194781013845,0.6681776086744412
PFS,mStage vs ajcc8th,2026,133,0.6936864633493847,0.6304248718795356,0.7558675765989793,0.6339397182093811,0.5585007073264863,0.7062205181596982,0.059746745140003554,0.009229456061295847,0.11172516936188812,True,0.695665204679183,0.631695684449477,1.8291057433210924,1.3413663662450352,2.4941939088690703,0.0001356478249247489,0.9588227115461604,0.692985561384331,1.3266380187492297,0.7996343802582533,0.8478057889822594,0.08796864049760533,1.2783512443438914,0.13823998209374994,0.04521891639984689,0.24176032580378876,True,33.09505001352258,3.0753641468100996e-07,16.605758035193677,0.0023052754846439845,0.7549247586351706,0.6669542206867326,0.8153865958824801,0.69283621667629,0.7214499009315639,0.6775903591962831,0.7371194781013845,0.6681776086744412
PFS,mStage vs ajcc8th,777,133,0.6936864633493847,0.6316322901746914,0.7575401307600482,0.6339397182093811,0.5599752971583128,0.7084100344096451,0.059746745140003554,0.011488435245456022,0.10824974147584442,True,0.6915424259676081,0.6310140342155961,1.8291057433210924,1.3413663662450352,2.4941939088690703,0.0001356478249247489,0.9588227115461604,0.692985561384331,1.3266380187492297,0.7996343802582533,0.8478057889822594,0.148903195769785,1.3452148575768106,0.13823998209374994,0.05196903154731474,0.2420002787557081,True,33.09505001352258,3.0753641468100996e-07,16.605758035193677,0.0023052754846439845,0.7549247586351706,0.6669542206867326,0.8153865958824801,0.69283621667629,0.7214499009315639,0.6775903591962831,0.7371194781013845,0.6681776086744412
PFS,mTstage vs T stage,42,133,0.6968075619761013,0.6257182966746021,0.7635785653783016,0.6198501872659176,0.5432976708637691,0.6929856955682898,0.07695737471018371,0.011389771048407637,0.14464052928980142,True,0.6935099737488291,0.618077295561511,2.044698503771308,1.4745679745937383,2.835265680089442,1.798409136071058e-05,1.14871984728553,0.8973254973712379,1.4705447370139415,0.27122251312987344,0.7170868347338937,-0.1462658129688914,1.059911363739044,0.12881788194909533,0.017730481030326276,0.2642860668649024,False,34.64731784485407,1.4462309258865407e-07,12.683353686355606,0.01293123503307869,0.7602752599353967,0.6492478681581456,0.7534837700135306,0.6355262277345417,0.6802304665882214,0.6499245459173733,0.6958008947336201,0.6408142561977753
PFS,mTstage vs T stage,123,133,0.6968075619761013,0.626415113575311,0.764362511996002,0.6198501872659176,0.5476754482694646,0.694291636317844,0.07695737471018371,0.011925112596183913,0.14260412743621126,True,0.6968724664659065,0.620226100052116,2.044698503771308,1.4745679745937383,2.835265680089442,1.798409136071058e-05,1.14871984728553,0.8973254973712379,1.4705447370139415,0.27122251312987344,0.7170868347338937,-0.22669308798546087,1.0910921625544265,0.12881788194909533,0.018143423472769184,0.29198879394808036,False,34.64731784485407,1.4462309258865407e-07,12.683353686355606,0.01293123503307869,0.7602752599353967,0.6492478681581456,0.7534837700135306,0.6355262277345417,0.6802304665882214,0.6499245459173733,0.6958008947336201,0.6408142561977753
PFS,mTstage vs T stage,2026,133,0.6968075619761013,0.6293411469025078,0.7638685973878477,0.6198501872659176,0.5429841326819677,0.6905185819078482,0.07695737471018371,0.01349380580590609,0.1433875104736263,True,0.6981135885848764,0.6178074341115092,2.044698503771308,1.4745679745937383,2.835265680089442,1.798409136071058e-05,1.14871984728553,0.8973254973712379,1.4705447370139415,0.27122251312987344,0.7170868347338937,-0.1292882715489894,1.0154742503259446,0.12881788194909533,0.013681130367105117,0.24065886229739308,False,34.64731784485407,1.4462309258865407e-07,12.683353686355606,0.01293123503307869,0.7602752599353967,0.6492478681581456,0.7534837700135306,0.6355262277345417,0.6802304665882214,0.6499245459173733,0.6958008947336201,0.6408142561977753
PFS,mTstage vs T stage,777,133,0.6968075619761013,0.6270313948351448,0.7640218915265189,0.6198501872659176,0.5470441358223052,0.695233632865015,0.07695737471018371,0.010645297539630179,0.14079341981716006,True,0.6960428048102618,0.6170064588097268,2.044698503771308,1.4745679745937383,2.835265680089442,1.798409136071058e-05,1.14871984728553,0.8973254973712379,1.4705447370139415,0.27122251312987344,0.7170868347338937,-0.30096452105432336,1.046672551769655,0.12881788194909533,-0.0009452150218862178,0.23968546000924176,False,34.64731784485407,1.4462309258865407e-07,12.683353686355606,0.01293123503307869,0.7602752599353967,0.6492478681581456,0.7534837700135306,0.6355262277345417,0.6802304665882214,0.6499245459173733,0.6958008947336201,0.6408142561977753
PFS,mNstage vs N stage,42,133,0.6441055823078295,0.5761673487524228,0.7115007146595804,0.6411628321740681,0.5721322731165592,0.7100980695062014,0.0029427501337614403,-0.01097459435413339,0.01720388472209389,False,0.6427252879829406,0.6397568738217391,1.4860459407549735,0.999323759329005,2.209826912868676,0.05039185885066829,1.0214887399848982,0.7984323561833206,1.3068599209879224,0.8656844630569679,0.591970121381886,-0.30670448179271714,0.9572665589199203,0.036696158754191466,-0.024794233888042774,0.10609734353938081,False,23.71320095842875,2.8671770124043442e-05,23.78905714127495,0.00023834158401424602,0.6930135788673062,0.693432419662715,0.7505127284958653,0.7470857365690422,0.6849734742375946,0.6893205773049854,0.6576093064371445,0.6816198682312749
PFS,mNstage vs N stage,123,133,0.6441055823078295,0.5766271081944185,0.7122159512249499,0.6411628321740681,0.5726289025900061,0.7101033818665496,0.0029427501337614403,-0.01069673000889371,0.017271616649749896,False,0.6453180445740372,0.6422195813379317,1.4860459407549735,0.999323759329005,2.209826912868676,0.05039185885066829,1.0214887399848982,0.7984323561833206,1.3068599209879224,0.8656844630569679,0.591970121381886,-0.3144853118955512,0.9432683982683978,0.036696158754191466,-0.028342772421574403,0.11535117740172338,False,23.71320095842875,2.8671770124043442e-05,23.78905714127495,0.00023834158401424602,0.6930135788673062,0.693432419662715,0.7505127284958653,0.7470857365690422,0.6849734742375946,0.6893205773049854,0.6576093064371445,0.6816198682312749
